company_name,source_url,status,established,capital,employees,representative,locations,homepage
株式会社リンクネット,https://hnavi.co.jp/corporation/2310/,ok,1999年5月18日,"10,000,000円",30名,関 秀明,東京都 港区白金4-10-28-306,https://link-nt.co.jp/
株式会社THO Media&amp;Solutions,https://hnavi.co.jp/corporation/8217/,ok,2021年12月22日,"9,900,000円",20名,片山 望希,東京都 渋谷区恵比寿4-20-3 ガーデンプレイスタワー18F,https://www.thomands.com/
株式会社GenAi,https://hnavi.co.jp/corporation/8934/,ok,2021年8月3日,"1,500,000円",49名,三浦一起,東京都 渋谷区神宮前3丁目25番地14号 エスラ原宿ビル7階,https://genai.co.jp/
合同会社Solashi Japan,https://hnavi.co.jp/corporation/3778/,ok,2022年8月29日,"5,000,000円",100名,島添 彰,東京都 渋谷区桜丘町１８−４ billage SHIBUYA 二宮ビル1F C11,https://solashi.com/
AMCOLAB株式会社,https://hnavi.co.jp/corporation/7038/,ok,2023年1月18日,"5,000,000円",40名,グェン ティ クィ,"海外 3rd Audi Building, No. 8 Pham Hung Street, Me Tri Ward, Nam Tu Liem Dist., Hanoi.",https://www.amcolab.vn/ja/
株式会社relation,https://hnavi.co.jp/corporation/3079/,ok,2012年11月1日,"25,000,000円",240名,井上 亮,兵庫県 神戸市中央区磯上通5-1-24 三光ビル2F,https://www.relation2012.com/
株式会社BTNコンサルティング,https://hnavi.co.jp/corporation/6675/,ok,2022年9月12日,"1,000,000円",2名,亀田 英佑,東京都 中央区日本橋富沢町10番13号 WORK EDITION NIHONBASHI 205,https://www.btncon.com/
株式会社ムクイル,https://hnavi.co.jp/corporation/9439/,ok,2024年3月21日,"1,000,000円",50名,入江龍雅,東京都 墨田区太平3丁目11-10 NTKオオノビル6F,https://www.mukuil.com/
株式会社プロテック,https://hnavi.co.jp/corporation/9097/,ok,2017年2月15日,"8,000,000円",7名,鎌田 広大,東京都 台東区台東一丁目31番9号 ニューセンチュリービル6F,https://www.pro-tech.co.jp/
ドコドア株式会社,https://hnavi.co.jp/corporation/3656/,ok,2011年2月20日,"170,600,000円",46名,本間 隆之,東京都 東京都中野区本町3-31-11 Daiwa中野坂上ビル6F,https://docodoor.co.jp/
株式会社LIH,https://hnavi.co.jp/corporation/3905/,ok,2016年2月2日,"1,000,000円",8名,出利葉貴弘,福岡県 福岡市中央区天神1丁目1-1 fabbitGGアクロス福岡1F,https://lih.co.jp/
株式会社クレアネット,https://hnavi.co.jp/corporation/6851/,ok,2008年6月6日,"10,000,000円",20名,谷 美輝,大阪府 大阪市北区南扇町1－5 UAKビル3F,https://www.clarenet.co.jp/
株式会社Flyby,https://hnavi.co.jp/corporation/3417/,ok,2020年12月28日,"3,500,000円",61名,伊藤 一記,東京都 港区新橋6-13-9 レグラード新橋3F,https://flyby.inc/
株式会社MH DESIGNS,https://hnavi.co.jp/corporation/3622/,ok,2019年2月21日,"5,000,000円",4名,高橋 平治,兵庫県 神戸市中央区多聞通4-1-10,https://mhdesigns.co.jp/
合同会社Riberte,https://hnavi.co.jp/corporation/15050/,ok,2022年3月14日,"999,999円",39名,森本翔,東京都 中央区八丁堀2-3-9 H¹O八丁堀,https://www.riberte.jp/
株式会社センタード,https://hnavi.co.jp/corporation/540/,ok,2010年12月1日,"8,000,000円",38名,平岡 悟,東京都 新宿区西新宿7-5-8 GOWA西新宿8F,http://www.centered.co.jp/
株式会社スタジオカレン,https://hnavi.co.jp/corporation/6231/,ok,2005年7月11日,"5,000,000円",14名,田中大輔,東京都 港区六本⽊7-15-7 新六本⽊ビル8F,https://www.studiokaren.co.jp/
HapInS株式会社,https://hnavi.co.jp/corporation/3549/,ok,2021年8月1日,"10,000,000円",125名,渡邉 亮介,東京都 新宿区新宿2丁目8番15号 パークフロント新宿3F,https://hapins.net/
株式会社グルコム,https://hnavi.co.jp/corporation/6669/,ok,2007年1月24日,"2,000,000円",10名,武本 之近,東京都 多摩市鶴牧1-3-10 605,https://grucom.jp/
株式会社イチカ,https://hnavi.co.jp/corporation/9925/,ok,2023年8月4日,"3,000,000円",10名,宮島晴之,東京都 中央区日本橋室町1丁目11番12号 日本橋水野ビル7階,https://itica.co.jp/
株式会社VISK,https://hnavi.co.jp/corporation/8462/,ok,2022年10月25日,"1,000,000円",15名,笹川直輝,大阪府 大阪市中央区備後町3丁目1-2 日宝アトラスビル3階,https://visk.co.jp/
ダイバージェンス株式会社,https://hnavi.co.jp/corporation/3100/,ok,2020年12月1日,"3,000,000円",25名,栗原 亮,東京都 港区海岸3-13-12 コンフォリア芝浦バウハウス1006,https://webtkr.com/
BST株式会社,https://hnavi.co.jp/corporation/6932/,ok,2018年8月17日,"1,000,000円",30名,上野俊行,東京都 文京区後楽2-16-5,https://bstinc.co.jp/
ナリモト株式会社,https://hnavi.co.jp/corporation/11308/,ok,2023年4月3日,"5,000,000円",100名,金成元(キム ソンウォン),東京都 文京区音羽1-17-11花和ビル403号,https://www.narimoto.co.jp/
EPICs株式会社,https://hnavi.co.jp/corporation/9478/,ok,2021年5月31日,"500,000円",25名,大熊滉希,東京都 新宿区西新宿6－20－7コンシェリア西新宿TOWER'SWEST ２F,https://nocodesemi.epic-s.co.jp/
株式会社aradas,https://hnavi.co.jp/corporation/843/,ok,2005年12月1日,"10,000,000円",13名,荒川 めぐみ,大阪府 大阪市中央区南船場2-1-10 CARP南船場第1ビル5F,http://www.aradas.net/
GlossVation株式会社,https://hnavi.co.jp/corporation/8747/,ok,2023年12月11日,"1,000,000円",5名,開発事業責任者 高田直人,東京都 東京都千代田区神田須田町1丁目7番8号 VORT秋葉原Ⅳ,https://www.glossvation.com/
株式会社オレンジグラフィックス,https://hnavi.co.jp/corporation/3433/,ok,2013年12月12日,"300,000円",6名,安藤 秀夫,東京都 新宿区新宿5丁目9-8 三恵ビル 301,http://orange-graphix.com/
株式会社イー・フュージョン,https://hnavi.co.jp/corporation/5948/,ok,1995年5月25日,"100,000,000円",10名,西田健一,埼玉県 川口市栄町3-2-16,https://www.efusion.co.jp/
株式会社カンナート,https://hnavi.co.jp/corporation/6744/,ok,2005年4月4日,"39,920,000円",50名,上坂 公輔,東京都 新宿区西新宿6-12-1西新宿パークウエストビル3階,https://www.kannart.co.jp/
株式会社リッチウィン,https://hnavi.co.jp/corporation/4003/,ok,2019年5月10日,"1,000,000円",10名,辻翔太,東京都 中央区銀座1-22-11銀座大竹ビジデンス2F,https://richwin.jp
株式会社九州ソフタス,https://hnavi.co.jp/corporation/4131/,ok,2001年5月8日,"10,000,000円",120名,瀧澤 盛夫,熊本県 熊本市西区春日2-3-1 牧野ビル,https://kyushu-softas.co.jp/
株式会社インターライフメディア,https://hnavi.co.jp/corporation/4690/,ok,2003年8月26日,"50,000,000円",10名,野村秀樹,東京都 千代田区永田町2-9-6十全ビル702,https://www.interlifemedia.co.jp/
株式会社レザボア・コンサルティング,https://hnavi.co.jp/corporation/6956/,ok,2022年6月2日,"3,000,000円",7名,小川雅紀,東京都 渋谷区神宮前６丁目２３番４号桑野ビル２階,https://reservoir.design/
メトロノーム株式会社,https://hnavi.co.jp/corporation/8650/,ok,2019年6月13日,"9,000,000円",40名,島崎 洋輔,東京都 港区港南2-16-4 品川グランドセントラルタワー8階,https://metronome.jp/
株式会社ShareDan,https://hnavi.co.jp/corporation/14782/,ok,2017年8月1日,"5,000,000円",6名,山本 真也,東京都 台東区浅草橋五丁目1番38号 アイビー浅草橋3階,https://www.sharedan.co.jp/
株式会社G.G.Gorilla,https://hnavi.co.jp/corporation/9823/,ok,2016年6月28日,"1,500,000円",3名,蘆田浩人,福岡県 福岡市東区西戸崎1-2-45ヴォルフスガルテン510,http://gggorilla.net/motion.graphic/
株式会社ビビッドソウル,https://hnavi.co.jp/corporation/3657/,ok,2017年8月1日,"10,000,000円",20名,貝沼 翔,東京都 文京区本郷三丁目５番地２号 U biz本郷4階,https://www.vividsoul.co.jp/
アンダーズ株式会社,https://hnavi.co.jp/corporation/6886/,ok,2016年4月21日,"30,000,000円",53名,新井美奈,東京都 千代田区麹町2-10-3,https://andaze.com/ja/
tkmt design合同会社,https://hnavi.co.jp/corporation/7487/,ok,2022年6月1日,"1,000,000円",1名,墳本優太,神奈川県 川崎市宮前区土橋2丁目4-3,https://tkmt.design/
株式会社ピースフラットシステム,https://hnavi.co.jp/corporation/8684/,ok,2022年5月12日,"5,000,000円",2名,片川 良平,東京都 東京都港区港南2-17-1 京王品川ビル2F,https://peace-flat-system.com/
株式会社リヴィティエ,https://hnavi.co.jp/corporation/9130/,ok,2009年7月7日,"11,500,000円",45名,佐藤紗耶子,東京都 文京区湯島3-1-5 アール・デコ御茶ノ水 6F,https://revitie.jp/
株式会社テレビ愛知企画,https://hnavi.co.jp/corporation/13007/,ok,1991年4月1日,"10,000,000円",10名,伊藤 弘道,愛知県 名古屋市中区栄4-16-33 日経名古屋支社ビル5階,https://www.tva.jp/
アプテック株式会社,https://hnavi.co.jp/corporation/1696/,ok,2008年10月3日,"10,000,000円",24名,倉石太郎,神奈川県 横浜市港北区新横浜 2-15-10 YS新横浜ビル5階,https://apteq.jp/
アットマークカフェ株式会社,https://hnavi.co.jp/corporation/2425/,ok,2006年12月16日,"1,000,000円",50名,山本 智久,東京都 中央区銀座6-10-1 GINZASIX 13F,http://atmarkcafe.jp/
株式会社Digeon,https://hnavi.co.jp/corporation/3495/,ok,2020年10月28日,"10,000,000円",24名,山﨑 祐太,兵庫県 神戸市中央区浪花町64 三宮電電ビル 5階,https://digeon.co/
株式会社フロンティアエンゲージメント,https://hnavi.co.jp/corporation/5647/,ok,2010年9月21日,"12,000,000円",30名,安岡 正晴,東京都 新宿区西新宿1-25-1 新宿センタービル49F,https://www.frontier-engagement.jp/
株式会社ノーコード総合研究所,https://hnavi.co.jp/corporation/8605/,ok,2023年8月24日,"16,000,000円",90名,石井大雅,京都府 京都市上京区二神町176-2 アーバン出町203,https://nocoderi.co.jp/
合同会社raisex,https://hnavi.co.jp/corporation/9319/,ok,2023年2月8日,"1,000,000円",1名,石橋朋治,埼玉県 さいたま市大宮区桜木町２丁目３番地大宮マルイ7階,https://raisex.jp/
株式会社Spovisor,https://hnavi.co.jp/corporation/9732/,ok,2023年6月22日,"9,500,000円",5名,池田 智彦,神奈川県 横浜市都筑区北山田1-10-5 ヴィ・ド・カンパーニュ港北ル・ソレイユ3F-03,https://future.spovisor.com/
サンダーバード株式会社,https://hnavi.co.jp/corporation/11066/,ok,2015年5月27日,"10,000,000円",10名,山根 洋平,群馬県 前橋市表町2-10-19 グラン前橋402,https://www.thunderbird.co.jp/
株式会社BAP Solution Japan,https://hnavi.co.jp/corporation/1959/,ok,2016年5月4日,"15,000,000円",50名,高井求,東京都 〒103-0025 東京都中央区日本橋茅場町３ー１０ー２ SKKビル8階,https://bap.jp/
株式会社MU,https://hnavi.co.jp/corporation/2698/,ok,2018年12月3日,"1,000,000円",23名,山田 元樹,神奈川県 横浜市中区花咲町3-103-2 アマデウスビル7F,https://minority-united.com/
株式会社Carecon,https://hnavi.co.jp/corporation/3522/,ok,2018年3月1日,"10,000,000円",150名,藤本淳也,東京都 渋谷区渋谷２丁目２２−３ 渋谷東口ビル ３階,https://care-con.co.jp/
